searched text | filePath | line number | text  
sam | tests\app.js | 32 |     secret:"sam and negi", | 
sam | tests\document.js | 54 |     //     form.setAttribute("action", "http://localhost:2000/username/sam/password/sam/save");  | 
console | tests\app.js | 66 |       //    console.log(moment(docs[0].attendance_date).format("DD/MM/YYYY")); | 
console | tests\app.js | 85 |             console.log(err); | 
console | tests\app.js | 88 |            //  console.log(moment(attendance[0].attendance_date).format("DD/MM/YYYY")); | 
console | tests\app.js | 105 |         console.log(err); | 
console | tests\app.js | 130 |         return console.log(err)// | 
console | tests\app.js | 155 |          //  console.log(attendance); | 
console | tests\app.js | 181 |         return console.log(err)// | 
console | tests\app.js | 222 |  //   console.log(req.body); | 
console | tests\app.js | 244 |   //  console.log(req.body) | 
console | tests\app.js | 259 |                             console.log(err); | 
console | tests\app.js | 282 |               //     console.log(new_attendance); | 
console | tests\app.js | 285 |                             console.log(err); | 
console | tests\app.js | 296 |                     return console.log(err)// | 
console | tests\app.js | 318 |             console.log(err); | 
console | tests\app.js | 359 |     console.log("connected to "+PORT); | 
console | tests\document.js | 19 |  //     console.log(attendee); | 
console | tests\tempCodeRunnerFile.js | 10 |       console.log(attendee); | 
negi | tests\app.js | 32 |     secret:"sam and negi", | 
